RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,Average Home Price 2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,Average Home Price 2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,Average Home Price 2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,Average Home Price 2019
9,0,California,State,CA,491514,494129,497269,500118,503388,506842,509839,512538,515536,518836,522804,526873,508307.1667,531122,535355,539032,542076,545088,548142,550697,551912,552161,552343,552587,552005,546043.3333,551102,549515,548512,549134,551708,554886,556561,556921,557165,558031,559231,561368,554511.1667,564240,567638,571170,574217,576134,577975,581825,587939,595117,602358,609757,582579.0909
54,1,Texas,State,TX,180311,181357,182274,183250,184076,184927,185689,186473,187315,188279,189235,190103,185274.0833,190887,191717,192709,193826,194930,195990,196931,197878,198611,199411,200093,200987,196164.1667,201937,202874,203523,204035,204663,205382,206132,206757,207333,207556,207796,208004,205499.3333,208453,208907,209598,210409,211267,212177,213244,214517,216048,217941,220034,212963.1818
43,2,New York,State,NY,285507,286466,287313,288345,289744,291403,292954,294364,295680,297059,298461,299696,292249.3333,301053,302496,304028,305477,306873,308297,309789,311292,312774,313989,315050,315969,308923.9167,316929,317827,318921,319903,321077,322017,322701,323079,323149,323114,323239,323703,321304.9167,324480,325311,326103,327159,328223,329607,331391,333658,336436,339682,343164,331383.0909
14,3,Florida,State,FL,211594,212785,214050,215437,216831,218202,219444,220816,222164,223519,224720,225932,218791.1667,226839,227918,229207,230663,232181,233507,234800,235890,236936,237887,238888,239935,233720.9167,240893,241503,241867,242231,242738,243534,244508,245142,245572,245992,246602,247202,243982,248045,249217,250529,251823,253084,254332,255608,257370,259476,261800,264149,255039.3636
21,4,Illinois,State,IL,190627,191399,192316,193157,193963,194592,195138,195834,196602,197439,198208,199049,194860.3333,199907,200581,200971,201368,201946,202688,203199,203599,203965,204291,204637,204873,202668.75,205001,205282,205617,206159,206712,207213,207535,207630,207350,207039,206833,206978,206612.4167,207338,207604,208034,208433,208867,209406,210326,211576,213261,215137,217105,210644.2727
47,5,Pennsylvania,State,PA,172363,172805,173224,173938,174710,175453,176172,176890,177678,178505,179245,179976,175913.25,180815,181703,182931,184006,185102,185773,186382,186873,187432,187925,188533,189139,185551.1667,189877,190608,191138,191644,192412,193335,194177,194751,195207,195664,196100,196622,193461.25,197209,197874,198650,199599,200472,201579,202933,204710,206705,208908,211287,202720.5455
44,6,Ohio,State,OH,127850,128552,129195,129853,130509,131194,131803,132557,133350,134232,134987,135686,131647.3333,136156,136791,137507,138501,139440,140294,141106,141732,142296,142828,143497,144179,140360.5833,144933,145672,146424,146985,147645,148362,149178,149825,150524,151145,151601,152039,148694.4167,152589,153312,154072,154939,155876,156928,158064,159529,161115,162914,164968,157664.1818
30,7,Michigan,State,MI,143219,144133,145201,146253,147409,148396,149235,150092,150959,151898,152900,153881,148631.3333,155100,156335,157528,158587,159662,160918,162077,163090,163863,164580,165234,166073,161087.25,166750,167434,167882,168470,169489,170762,171872,172355,172697,173004,173528,173982,170685.4167,174667,175339,176276,177282,178040,178663,179620,181275,183297,185514,187747,179792.7273
16,8,Georgia,State,GA,167203,168082,168950,169861,170775,171832,173021,174188,175558,176843,178230,179560,172841.9167,180983,182345,183521,184728,186024,187405,188743,190000,191178,192333,193444,194455,187929.9167,195357,196146,197140,198144,199220,200060,200890,201748,202570,203268,203664,204115,200193.5,204736,205685,206630,207629,208633,209862,211208,212703,214359,216285,218609,210576.2727
36,9,North Carolina,State,NC,173519,174327,175222,176186,177118,177918,178622,179420,180291,181361,182378,183457,178318.25,184541,185690,186751,187680,188682,189748,190933,192017,193022,193825,194727,195635,190270.9167,196683,197566,198428,199335,200237,201194,202038,202847,203618,204425,205211,205954,201461.3333,206688,207627,208678,209820,211021,212259,213641,215184,216888,218746,220710,212842
