RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020
9,0,California,State,CA,161268,161039,160891,160603,160408,160255,160160,160145,160171,160322,160500,160756,160773,160853,161019,161484,162042,162629,163347,164115,164974,165747,166644,167664,169085,170657,172163,173440,174595,175793,176876,178060,179354,180727,181997,183077,184352,185700,187112,188373,189682,191230,192881,194345,195659,197199,199064,201122,203122,205034,207002,209129,211452,213873,216363,219017,221753,224405,227046,229716,232277,234927,237690,240612,243228,245525,247552,249550,251594,253735,255839,257947,260091,262421,264823,267425,270211,273478,277182,281100,284944,288821,292940,297188,301259,304985,308725,312472,316344,319669,323353,327424,332187,336932,342038,347139,353026,359293,365943,372761,380406,389086,397592,405488,412982,420472,427508,434677,441292,448465,455466,462870,469362,475357,481499,487886,494507,500766,505858,510374,514142,517297,520287,522487,524963,526248,526658,526256,524737,523006,521498,520061,518600,516654,514464,512227,508833,505167,500698,496006,490436,483935,477392,470084,462771,453612,443235,431969,420882,410687,400480,390914,382198,374388,365691,357109,349169,344263,339950,335964,332369,329787,328511,327633,327059,327069,328561,330542,332010,331814,332587,333756,335468,335002,333719,332065,330761,329040,326686,324660,322946,321489,319285,317044,313961,312150,310714,309308,307630,305794,305066,303893,303160,302603,302779,303462,304990,306900,309208,312111,315475,319627,323456,328511,333509,339431,345985,353313,360818,368388,375813,383049,389441,394997,400089,404515,409006,412696,414860,415913,416522,417354,418663,419350,420605,421951,424405,426219,428129,430297,433557,436276,439124,441319,443474,446038,448981,452173,454676,458164,461246,463921,465590,468242,470787,473486,475793,478740,481450,484416,486927,489102,491514,494129,497269,500118,503388,506842,509839,512538,515536,518836,522804,526873,531122,535355,539032,542076,545088,548142,550697,551912,552161,552343,552587,552005,551102,549515,548512,549134,551708,554886,556561,556921,557165,558031,559231,561368,564240,567638,571170,574217,576134,577975,581825,587939,595117,602358,609757
54,1,Texas,State,TX,97022,97047,97075,97200,97336,97452,97539,97660,97813,97992,98206,98444,98468,98469,98459,98591,98683,98812,98943,99110,99287,99528,99754,99990,100460,100908,101352,101475,101684,101896,102203,102439,102661,102733,102770,102775,102993,103476,104138,104873,105552,106225,106868,107415,107866,108394,108974,109558,109938,110215,110385,110573,110614,110653,110655,110843,111089,111334,111626,111947,112172,112166,112005,111910,111996,112100,112224,112270,112375,112501,112590,112679,112782,113017,113354,113772,114193,114680,115159,115648,116063,116444,116839,117220,117495,117583,117574,117613,117740,117975,118196,118476,118714,119024,119301,119620,120193,121220,122563,123694,124537,125027,125617,126160,126820,127428,128007,128581,129199,129602,129852,130029,130286,130676,131003,131341,131624,131805,132107,132341,132703,133107,133557,133991,134503,135032,135572,136037,136539,137196,137759,138329,138725,139013,139217,139535,139897,140309,140602,141064,141508,141897,142164,142393,142197,141799,141249,140903,140516,140146,139861,139465,138970,138429,137849,137297,136998,136986,137052,136936,136780,136641,136609,136525,136471,136399,136609,136776,136866,136842,136855,136947,136973,136854,136390,135864,135335,134911,134403,133980,133573,133054,132487,131921,131461,131041,130858,130833,130927,130950,130825,130657,130630,130865,131208,131502,131817,132165,132591,132972,133263,133542,133990,134575,135261,135898,136647,137485,138344,139211,140097,141027,142053,143134,144207,145155,146014,146900,147687,148447,149241,150155,151025,151968,152908,153879,154843,155844,156859,157865,158943,160041,161066,162073,163064,164022,164902,165840,166693,167589,168525,169434,170315,171166,172190,173157,174207,175123,176100,176985,178090,179258,180311,181357,182274,183250,184076,184927,185689,186473,187315,188279,189235,190103,190887,191717,192709,193826,194930,195990,196931,197878,198611,199411,200093,200987,201937,202874,203523,204035,204663,205382,206132,206757,207333,207556,207796,208004,208453,208907,209598,210409,211267,212177,213244,214517,216048,217941,220034
43,2,New York,State,NY,138214,137901,137716,137438,137335,137270,137191,137109,137073,137091,137148,137251,137228,137505,137806,138173,138304,138470,138773,139073,139364,139583,140009,140467,141323,141817,142286,142386,142645,142907,143041,143452,143952,144727,145193,145680,145935,146460,147021,147884,148820,149822,151132,152195,153248,154005,154837,155591,156333,157382,158594,159949,161150,162325,163251,164094,164911,165871,167059,168303,169568,170612,171655,172681,173795,174914,176077,177295,178498,179806,181153,182571,184025,185419,186639,187888,189172,190596,192053,193601,195143,196644,198182,199850,201512,203275,205374,207352,209245,210923,212633,214537,216521,218559,220308,221945,223715,225490,227110,228797,230677,232827,235045,237123,239282,241347,243701,245907,248151,250406,252613,254982,257303,259543,261834,264178,266675,269153,271404,273712,275716,277588,279151,280548,281779,283077,284136,285004,285435,285703,285829,285999,286107,286258,286536,286653,286913,286897,287012,287058,287068,287320,287578,287560,287475,287055,286618,285925,284940,283876,282593,281406,280129,278542,276842,275260,273729,272318,270916,269643,268480,267268,266191,265211,264605,264337,264264,264225,264057,264011,263861,264039,264118,264498,264631,264412,263806,262896,262044,261117,260510,259922,259488,258630,257729,256544,255639,254981,254539,254214,253721,253327,252862,252285,251766,251405,251353,251431,251541,251719,251913,252048,252321,252679,253071,253661,254165,254914,255598,256410,257213,257912,258612,259441,260287,261034,261776,262494,263337,263948,264456,264828,265100,265444,265810,266262,266704,267295,267865,268322,268621,269026,269533,270196,270958,271702,272444,273017,273581,273978,274410,275148,276091,277074,277910,278573,279265,280068,280920,281908,282960,284265,285507,286466,287313,288345,289744,291403,292954,294364,295680,297059,298461,299696,301053,302496,304028,305477,306873,308297,309789,311292,312774,313989,315050,315969,316929,317827,318921,319903,321077,322017,322701,323079,323149,323114,323239,323703,324480,325311,326103,327159,328223,329607,331391,333658,336436,339682,343164
14,3,Florida,State,FL,100036,100131,100243,100451,100652,100880,101099,101297,101426,101560,101712,101901,101910,101975,102056,102360,102641,102888,103127,103380,103673,103935,104240,104546,105235,105812,106320,106415,106582,106692,106855,107103,107545,108073,108459,108758,108837,109038,109279,109721,110166,110792,111443,112030,112423,112767,113241,113760,114323,114888,115536,116238,116906,117523,118109,118708,119376,120085,120856,121658,122490,123358,124244,125150,126088,127043,128083,129159,130303,131463,132599,133703,134780,135815,136829,137861,138936,140054,141174,142358,143515,144735,145979,147409,148892,150459,152001,153554,155044,156441,157784,159123,160630,162305,164119,165871,167680,169513,171422,173294,175385,177726,180327,183168,186109,189108,192108,195338,198760,202414,206252,210376,214807,219608,224825,230133,235410,240374,245122,249635,253878,257667,261477,265253,268603,271123,272626,273509,273655,273459,273077,272217,271225,269970,268407,266283,263788,260865,257685,254413,251239,248043,244561,240994,236966,232853,228350,224064,219546,215392,211146,206866,202589,198222,193764,189494,185509,181907,178449,174955,171827,168933,166666,164619,162774,161267,160336,159489,158804,158049,157542,157066,156528,155726,154638,153355,152000,150520,148922,147426,145897,144478,142983,141646,140374,139375,138463,137842,137369,137127,136982,136871,136870,136919,137225,137700,138279,138957,139743,140639,141587,142619,143697,144944,146405,148054,149750,151481,153367,155250,157277,159358,161479,163364,165196,166869,168424,169740,171010,172086,173092,173947,174816,175451,176177,177162,178239,179326,180334,181471,182602,183733,184906,186158,187338,188681,190079,191473,192730,194099,195575,197133,198469,199807,201047,202452,203916,205305,206540,207680,208997,210269,211594,212785,214050,215437,216831,218202,219444,220816,222164,223519,224720,225932,226839,227918,229207,230663,232181,233507,234800,235890,236936,237887,238888,239935,240893,241503,241867,242231,242738,243534,244508,245142,245572,245992,246602,247202,248045,249217,250529,251823,253084,254332,255608,257370,259476,261800,264149
21,4,Illinois,State,IL,141498,141242,140920,140542,140022,139715,139284,139755,140471,141953,143162,144083,144396,144395,144531,144410,144558,144359,144105,142060,139512,135736,132757,130560,129707,129548,129457,129426,129377,129325,129631,130829,132545,134801,136728,138206,138888,139273,139669,140189,140630,141390,142206,143004,143542,144198,144994,145847,146870,147894,148925,149845,150743,151605,152412,153338,154336,155361,156414,157514,158571,159495,160439,161441,162579,163662,164660,165607,166629,167723,168831,169806,170715,171664,172780,173741,174754,175708,176894,178029,179113,180149,181074,182170,183237,184444,185487,186649,187615,188539,189407,190498,191760,192996,194174,195211,196437,197605,198813,200090,201470,203044,204493,205863,206995,208218,209605,211131,212471,213820,215149,216604,218049,219549,221068,222540,224201,225815,227295,228641,229883,231175,232249,233304,234173,234935,235488,236098,236513,236867,237065,237396,237872,238467,238318,238195,237372,237164,236354,236025,235205,234712,234042,233231,232392,230147,229430,226984,226316,223577,222372,219664,218099,215483,213354,210305,207207,204881,202310,200536,198087,196291,194843,193676,192095,190834,189683,189521,188945,188677,187297,187169,186017,186040,183847,182699,180881,179894,177965,176316,174671,173403,172232,170349,169047,167180,166727,165610,165039,163251,162340,160869,160088,158524,158151,157662,157655,157211,156586,156014,155492,155830,156373,156953,157630,158532,159158,160076,160693,161915,163051,164666,166086,167672,168491,169545,170163,171084,171485,171656,172083,172815,173578,174010,174548,174853,175432,175830,176205,176323,176833,177636,178417,178647,178923,179167,179506,179750,180047,180512,181112,182159,183052,183801,184312,184967,185748,186492,187126,187830,188692,189625,190627,191399,192316,193157,193963,194592,195138,195834,196602,197439,198208,199049,199907,200581,200971,201368,201946,202688,203199,203599,203965,204291,204637,204873,205001,205282,205617,206159,206712,207213,207535,207630,207350,207039,206833,206978,207338,207604,208034,208433,208867,209406,210326,211576,213261,215137,217105
47,5,Pennsylvania,State,PA,96551,96484,96417,96307,96208,96161,96127,96166,96193,96275,96377,96510,96609,96714,96875,97092,97358,97605,97876,98010,98172,98272,98465,98683,98988,99273,99496,99631,99746,99835,99927,100167,100452,100792,100968,101065,101130,101267,101455,101697,101922,102190,102466,102720,102986,103232,103558,103948,104387,104900,105399,105886,106366,106818,107262,107640,108036,108459,108958,109487,110010,110478,110975,111485,111943,112384,112830,113325,113815,114299,114856,115399,115980,116555,117184,117833,118473,119099,119751,120530,121328,122174,122911,123710,124524,125361,126182,127003,127910,128879,129815,130691,131588,132553,133469,134348,135178,136295,137401,138545,139686,140865,142191,143429,144756,145963,147339,148729,150234,151408,152614,153860,155217,156631,158054,159645,161176,162662,164038,165375,166561,167643,168633,169629,170627,171645,172472,173151,173668,174153,174526,174869,175281,175751,176262,176598,176898,177045,177347,177600,177801,177926,178075,178198,178142,177982,177628,177296,176829,176345,175644,174929,174287,173724,173085,172333,171543,170950,170471,170042,169589,169207,168964,168736,168596,168555,168715,168937,169247,169445,169635,169765,169820,169761,169482,169046,168359,167541,166614,165757,164949,164195,163456,162622,161808,160989,160362,159939,159721,159527,159282,158983,158647,158317,158027,157860,157792,157713,157597,157510,157447,157469,157524,157665,157856,158060,158274,158569,158895,159307,159734,160098,160437,160685,160990,161207,161449,161679,161876,161931,161952,162097,162335,162526,162635,162751,162900,163121,163295,163435,163725,164156,164696,164962,165128,165313,165647,166032,166377,166626,167031,167582,167943,168161,168238,168680,169162,169731,170166,170629,171160,171869,172363,172805,173224,173938,174710,175453,176172,176890,177678,178505,179245,179976,180815,181703,182931,184006,185102,185773,186382,186873,187432,187925,188533,189139,189877,190608,191138,191644,192412,193335,194177,194751,195207,195664,196100,196622,197209,197874,198650,199599,200472,201579,202933,204710,206705,208908,211287
44,6,Ohio,State,OH,92519,92630,92776,93082,93399,93692,93951,94241,94540,94844,95145,95456,95755,96056,96341,96632,96930,97262,97617,97923,98215,98484,98773,99075,99439,99842,100229,100554,100869,101206,101593,101986,102388,102831,103252,103601,103853,104125,104458,104804,105084,105343,105616,105941,106283,106633,107001,107457,107992,108522,108961,109419,109958,110541,111034,111478,111914,112339,112775,113193,113604,113974,114375,114765,115125,115430,115766,116125,116480,116820,117130,117419,117687,117959,118258,118553,118857,119153,119463,119745,120032,120337,120700,121075,121447,121809,122143,122500,122852,123249,123650,124119,124582,125033,125393,125749,126066,126430,126804,127167,127535,127870,128227,128511,128807,129091,129421,129749,130140,130525,130908,131248,131539,131839,132105,132411,132688,132984,133303,133605,133838,133979,134102,134225,134345,134423,134495,134519,134463,134394,134305,134209,134120,134077,133912,133681,133382,133121,132796,132478,132253,132004,131611,131214,130840,130453,130107,129681,129282,128818,128448,128031,127536,126899,126378,125751,125041,124187,123423,122849,122381,121938,121472,121035,120690,120509,120328,120234,120139,120221,120157,120087,119908,119700,119265,118759,118184,117608,116975,116301,115742,115163,114671,114023,113406,112828,112470,112186,111913,111590,111314,111093,110812,110508,110307,110208,110078,109884,109730,109687,109736,109791,109826,109891,110088,110373,110616,110886,111229,111679,112084,112478,112772,113169,113515,113807,113830,113788,113743,113812,113943,114148,114395,114543,114750,114896,115200,115583,116140,116736,117273,117722,118186,118624,119060,119476,119877,120266,120631,120961,121370,121770,122286,122760,123193,123610,124072,124612,125180,125764,126402,127104,127850,128552,129195,129853,130509,131194,131803,132557,133350,134232,134987,135686,136156,136791,137507,138501,139440,140294,141106,141732,142296,142828,143497,144179,144933,145672,146424,146985,147645,148362,149178,149825,150524,151145,151601,152039,152589,153312,154072,154939,155876,156928,158064,159529,161115,162914,164968
30,7,Michigan,State,MI,90756,91079,91389,92056,92714,93387,93995,94559,95079,95593,96160,96779,97429,98025,98647,99197,99779,100281,100872,101537,102271,103004,103659,104226,104805,105415,106017,106582,107133,107755,108391,109003,109627,110266,110903,111559,112080,112739,113367,114151,114880,115711,116505,117313,118069,118815,119564,120322,121206,121991,122830,123593,124445,125239,126115,126925,127683,128393,129185,130005,130736,131372,131975,132588,133213,133761,134292,134839,135460,136043,136559,137024,137547,138085,138646,139111,139465,139816,140112,140459,140743,141079,141428,141797,142135,142535,142807,143196,143647,144199,144711,145179,145685,146217,146704,147170,147604,148009,148490,148891,149296,149677,150131,150549,150918,151285,151654,152020,152404,152714,153062,153401,153801,154078,154289,154508,154782,155002,155178,155318,155451,155578,155607,155530,155324,155016,154746,154356,153967,153417,152843,152122,151375,150688,150021,149403,148542,147750,146733,145998,144883,143736,142400,141382,140408,139229,137775,135990,134278,132544,130824,128820,127037,125575,124186,122411,120194,118101,116092,114384,112712,111125,109896,108785,107904,106818,105992,105288,105033,104662,104445,104310,104332,104362,103955,103400,102585,101864,101061,100429,99715,99176,98492,97794,97057,96364,95881,95683,95714,95774,95781,95791,95840,95865,96145,96473,96958,97467,98131,98758,99353,100089,100912,101688,102486,103505,104678,105913,107099,108304,109605,110992,112460,113769,115003,116266,117552,118660,119499,120222,120981,121825,122543,123106,123539,124026,124584,125095,125621,126187,126921,127570,128098,128563,129081,129703,130213,130725,131324,132128,132878,133576,134069,134837,135656,136582,137503,138378,139456,140534,141515,142372,143219,144133,145201,146253,147409,148396,149235,150092,150959,151898,152900,153881,155100,156335,157528,158587,159662,160918,162077,163090,163863,164580,165234,166073,166750,167434,167882,168470,169489,170762,171872,172355,172697,173004,173528,173982,174667,175339,176276,177282,178040,178663,179620,181275,183297,185514,187747
16,8,Georgia,State,GA,102873,103032,103194,103545,103897,104272,104620,104971,105314,105688,106078,106499,106841,107232,107651,108154,108625,109052,109515,110025,110584,111120,111640,112168,112907,113581,114183,114559,115049,115605,116201,116783,117345,117929,118541,119118,119588,120091,120691,121424,122124,122841,123588,124280,124983,125664,126361,127029,127663,128408,129209,130100,130930,131753,132545,133391,134238,135114,135997,136965,137953,138779,139503,140131,140839,141506,142176,142837,143475,144083,144649,145186,145683,146219,146715,147227,147698,148183,148626,149002,149383,149777,150169,150490,150839,151184,151592,151909,152187,152442,152728,153059,153380,153680,153996,154387,154783,155202,155604,156063,156497,156893,157296,157756,158251,158784,159278,159733,160135,160525,160943,161452,162062,162721,163320,163865,164441,165014,165654,166214,166852,167446,168007,168440,168829,169279,169802,170317,170770,171179,171568,172021,172465,172887,173291,173619,173831,173877,173810,173681,173403,173080,172689,172360,171746,170956,169940,169095,168267,167365,166284,165070,163907,162615,161039,159092,157287,155599,154033,152164,150335,148665,147424,146370,145420,144411,143639,143089,142518,141888,141287,141043,140860,140486,139538,138279,136740,135413,134009,132867,131635,130623,129313,127867,126206,124741,123632,122984,122708,122455,122152,121493,121002,120499,120572,120759,121162,121587,122099,122427,122591,122806,123404,124240,125295,126392,127464,128471,129569,130766,131981,133336,134767,136223,137450,138730,139817,140894,141761,142633,143389,144088,144847,145557,146317,147014,147736,148391,149032,149641,150235,150920,151758,152662,153436,154190,154914,155604,156285,156947,157788,158611,159581,160530,161408,162116,162742,163381,163914,164635,165429,166400,167203,168082,168950,169861,170775,171832,173021,174188,175558,176843,178230,179560,180983,182345,183521,184728,186024,187405,188743,190000,191178,192333,193444,194455,195357,196146,197140,198144,199220,200060,200890,201748,202570,203268,203664,204115,204736,205685,206630,207629,208633,209862,211208,212703,214359,216285,218609
36,9,North Carolina,State,NC,110183,110396,110588,110985,111379,111822,112294,112755,113160,113638,114170,114740,115295,115842,116439,117002,117527,117960,118346,118824,119395,119845,120221,120557,120995,121370,121707,122046,122531,123071,123632,124077,124495,124972,125426,125858,126162,126558,126938,127409,127768,128120,128490,128858,129252,129600,130024,130472,130924,131464,132011,132605,133147,133682,134170,134626,135070,135534,136077,136631,137224,137633,138006,138301,138635,138954,139224,139559,139879,140229,140454,140645,140804,141001,141224,141407,141638,141851,142125,142336,142547,142737,142946,143158,143389,143629,143888,144123,144363,144560,144785,145050,145324,145580,145839,146154,146540,146927,147298,147656,147980,148344,148680,149028,149428,149872,150388,150900,151328,151833,152296,152899,153483,154192,154939,155724,156494,157321,158134,158950,159743,160531,161349,162158,163022,163843,164711,165564,166411,167178,167871,168547,169267,169895,170539,171148,171804,172448,172990,173480,173842,174111,174372,174593,174762,174781,174714,174560,174325,173950,173494,173063,172597,172087,171388,170621,169800,169212,168620,167902,167010,166161,165485,164750,164131,163619,163316,162979,162670,162203,161800,161561,161427,161195,160679,160098,159429,158809,158135,157518,156823,156135,155329,154386,153538,152868,152378,151867,151456,150926,150428,149939,149583,149317,149133,149151,149073,148938,148810,148866,148923,149031,149155,149272,149430,149588,149918,150263,150736,151239,151761,152280,152748,153283,153743,154316,154791,155284,155588,155837,156048,156234,156393,156472,156663,156885,157276,157660,158146,158632,159253,159783,160247,160682,161242,161891,162449,162946,163353,163725,164144,164653,165127,165732,166466,167378,168256,169082,169949,170802,171707,172637,173519,174327,175222,176186,177118,177918,178622,179420,180291,181361,182378,183457,184541,185690,186751,187680,188682,189748,190933,192017,193022,193825,194727,195635,196683,197566,198428,199335,200237,201194,202038,202847,203618,204425,205211,205954,206688,207627,208678,209820,211021,212259,213641,215184,216888,218746,220710
