RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,Average Home Price 2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,Average Home Price 2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,Average Home Price 2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,Average Home Price 2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,Average Home Price 2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,Average Home Price 2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,Average Home Price 2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,Average Home Price 2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,Average Home Price 2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,Average Home Price 2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,Average Home Price 2019
4,22,Alabama,State,AL,125737,125551,125130,124683,124140,123655,123037,122445,121937,121522,121001,120386,123268.6667,119613,118956,118474,118159,117889,117618,117350,117099,116775,116419,115984,115709,117503.75,115654,115644,115634,115467,115421,115347,115376,115358,115445,115544,115785,115958,115552.75,116138,116283,116497,116701,116765,116845,116943,117181,117386,117590,117774,117994,117008.0833,118138,118252,118301,118486,118794,119152,119450,119698,119871,120088,120306,120493,119252.4167,120690,120890,121176,121385,121573,121736,121976,122176,122442,122610,122769,122954,121864.75,123238,123601,123931,124303,124609,124952,125187,125469,125705,126090,126540,126979,125050.3333,127296,127553,127844,128179,128536,128810,129136,129543,130094,130592,130987,131518,129174,132066,132656,133160,133706,134320,135010,135739,136372,136914,137400,137951,138373,135305.5833,138849,139345,139884,140391,140903,141583,142291,142904,143353,143854,144473,145213,141920.25,145941,146718,147558,148460,149393,150247,151129,152199,153504,154891,156265,150573.1818
3,46,Alaska,State,AK,259114,258961,258948,259173,259839,260103,260326,260622,260837,260762,260241,259981,259908.9167,259285,258713,257569,256600,255887,255913,256158,256375,256428,256644,256799,257195,256963.8333,257808,258564,259493,260349,261187,261209,261057,260767,261061,261584,262273,262255,260633.9167,262732,263133,264111,264756,265533,266994,268353,269799,270733,271314,272085,272849,267699.3333,273311,273872,274419,274861,274680,274225,274626,275678,276830,277963,278476,279464,275700.4167,280169,280760,281166,282440,284442,286297,286979,286950,286658,286663,287242,288154,284826.6667,289374,290532,291145,290893,290145,289409,289281,289218,289593,289884,290302,290408,290015.3333,290462,290220,290040,289931,290147,290629,291043,291369,292153,293330,294089,294094,291458.9167,293316,292625,292080,291580,291915,292368,293250,293308,293472,294545,295942,296876,293439.75,296875,299199,302047,306512,307458,308382,308032,309181,309276,305498,301862,298831,304429.4167,299030,296865,294394,290999,290053,289294,289508,289329,290014,293246,296646,292670.7273
8,15,Arizona,State,AZ,164106,162837,161676,161319,160567,159655,157417,155812,153662,152209,150112,148088,157288.3333,146008,144390,143344,141563,139872,137948,137067,136491,136239,136275,136329,137254,139398.3333,137928,139183,140075,142261,145007,147916,150513,153074,156119,158799,161728,163378,149665.0833,165546,166858,169115,170946,172864,175196,177923,180196,182085,183658,184544,186058,176249.0833,187703,190163,190911,190921,190780,190985,190876,190964,190757,191207,192257,193462,190915.5,193883,194088,195479,197354,199050,199982,201276,202495,203955,204818,205525,206338,200353.5833,207957,209226,210082,210905,211919,213011,213626,214664,215779,217363,218914,220176,213635.1667,221129,222276,223629,224910,226091,227515,229243,230451,231736,233017,234535,235821,228362.75,237301,239079,240805,242403,244027,245653,247137,248402,249760,250866,251809,252646,245824,253784,254913,255932,256413,257568,259226,261137,262811,264021,265427,266789,268679,260558.3333,270514,272472,274738,277788,280583,283212,285973,289487,293673,298207,303230,284534.2727
6,31,Arkansas,State,AR,108242,108310,108357,108360,108379,108287,108046,107800,107422,107074,106596,106180,107754.4167,105763,105464,105220,104955,104576,104304,104207,104217,104283,104375,104451,104478,104691.0833,104473,104505,104652,104921,105308,105631,105856,106026,106259,106462,106731,107040,105655.3333,107395,107648,107739,107767,107800,107901,108071,108247,108378,108484,108521,108511,108038.5,108535,108679,108950,109212,109448,109597,109684,109792,109975,110244,110530,110834,109623.3333,111103,111312,111450,111628,111760,111999,112282,112638,112959,113238,113557,113859,112315.4167,114176,114506,114876,115247,115667,116089,116450,116742,117046,117410,117784,118165,116179.8333,118569,118949,119385,119759,120200,120601,121157,121712,122216,122643,123080,123574,120987.0833,124068,124607,125100,125632,126108,126536,126912,127224,127620,128008,128470,128952,126603.0833,129430,129845,130204,130592,131094,131628,132121,132610,133095,133599,133831,134016,131838.75,134213,134616,135110,135627,136130,136704,137367,138135,138945,139837,140986,137060.9091
9,0,California,State,CA,332010,331814,332587,333756,335468,335002,333719,332065,330761,329040,326686,324660,331464,322946,321489,319285,317044,313961,312150,310714,309308,307630,305794,305066,303893,312440,303160,302603,302779,303462,304990,306900,309208,312111,315475,319627,323456,328511,311023.5,333509,339431,345985,353313,360818,368388,375813,383049,389441,394997,400089,404515,370779,409006,412696,414860,415913,416522,417354,418663,419350,420605,421951,424405,426219,418128.6667,428129,430297,433557,436276,439124,441319,443474,446038,448981,452173,454676,458164,442684,461246,463921,465590,468242,470787,473486,475793,478740,481450,484416,486927,489102,474975,491514,494129,497269,500118,503388,506842,509839,512538,515536,518836,522804,526873,508307.1667,531122,535355,539032,542076,545088,548142,550697,551912,552161,552343,552587,552005,546043.3333,551102,549515,548512,549134,551708,554886,556561,556921,557165,558031,559231,561368,554511.1667,564240,567638,571170,574217,576134,577975,581825,587939,595117,602358,609757,582579.0909
10,21,Colorado,State,CO,234083,234434,234668,234536,234152,233452,232680,231760,230773,229839,228922,228026,232277.0833,227104,226152,225261,224496,223576,222880,222208,222037,222007,222058,222158,222337,223522.8333,222640,223000,223439,224189,225440,226939,228551,229807,231152,232500,233980,235365,228083.5,236964,238689,240699,242452,244104,245648,247430,249505,251384,253091,254573,256228,246730.5833,257639,259068,260265,261685,263200,264871,266527,267964,269600,271542,273852,276305,266043.1667,279062,281866,284678,287350,290264,293180,296075,299072,302188,305244,308037,310640,294804.6667,312934,315265,317705,320434,322883,325228,327705,330273,332604,334754,337137,339544,326372.1667,342268,344985,347838,350249,352504,354709,356686,358569,360568,362836,364961,367490,355305.25,369783,372039,374078,376586,379436,382142,384571,386602,388479,390301,392202,393350,382464.0833,394061,395026,395929,396803,397278,398276,399380,400468,401394,401914,402363,403170,398838.5,404804,406350,408141,409968,412165,414252,416666,419556,422898,426823,431100,415702.0909
11,28,Connecticut,State,CT,270662,269618,269427,269785,270181,270200,269678,268737,267544,265753,263666,261640,268074.25,260525,259579,258010,256047,254100,252947,251742,250272,248597,246940,245792,244496,252420.5833,243111,241699,240618,239459,238315,236667,235610,235052,234858,235129,235486,236399,237700.25,237279,237742,238363,239412,240938,242398,243357,244358,245408,246177,246698,246682,242401,246474,246448,246053,245640,244780,244450,244149,243580,242850,242420,242309,242152,244275.4167,241933,241913,242339,242721,243152,243213,243348,243555,243976,243862,243228,242910,243012.5,243064,243462,243494,243162,242956,242843,242917,242848,242661,242981,243787,244698,243239.4167,245616,246171,246762,247521,248360,249118,249916,250775,251771,252547,253467,253919,249661.9167,254239,254319,254722,255176,255730,256454,256926,257388,257341,257387,257129,257493,256192,257390,257909,258205,258892,259522,259930,259987,259620,259224,258934,258906,259104,258968.5833,259999,260639,261549,262398,263533,265077,267327,270250,273808,277690,281924,267654
13,44,Delaware,State,DE,242857,242606,242359,241833,241484,241135,240466,239225,237978,236453,234828,233510,239561.1667,232026,230742,228849,227176,225129,223484,222282,221381,220210,218973,218035,216965,223771,215863,214355,213669,213015,213120,212739,212253,211160,210311,209463,208996,208669,211967.75,208596,208987,209506,210035,210014,210100,210364,211508,212780,214425,215519,216565,211533.25,217673,218398,218904,219111,220196,221132,221921,222112,222480,222764,223216,223630,220961.4167,224115,224768,225446,226534,227042,227744,228196,229012,229569,229911,230236,230601,227764.5,231010,231664,232402,233389,234325,235484,236753,237689,238355,239073,239879,240931,235912.8333,241840,242246,242060,241343,241032,241086,241358,242079,243021,244152,244889,245135,242520.0833,245281,246333,248180,250148,251532,252282,252995,253548,254047,254599,255598,256694,251769.75,258001,258530,259084,259080,258665,258222,257968,258165,258284,258110,257973,258130,258351,258512,259091,259542,260630,262424,264673,266977,269189,271731,274759,277979,265955.1818
12,49,District of Columbia,State,DC,424412,423956,422957,424687,428724,431799,432712,432971,431758,430983,428512,427963,428452.8333,426343,426803,426369,426525,425168,423868,423233,422068,422098,421423,421360,419692,423745.8333,420992,422026,425252,425010,425327,427090,431185,436392,441504,447342,452966,458683,434480.75,460512,461352,461440,466586,473961,480261,484535,488237,492164,496193,499879,503792,480742.6667,510440,517699,525405,529518,531383,532157,533719,534962,535077,534141,534593,535343,529536.4167,534228,532983,531740,532530,533237,534853,536790,539235,542703,547063,549257,550577,538766.3333,551079,552350,554202,556964,560592,563435,565161,566957,568203,568633,571346,574758,562806.6667,580658,584791,588662,589385,588995,588392,589652,590776,592666,595250,596991,599106,590443.6667,599152,602769,601956,603141,604984,610618,615835,618391,620645,622809,625211,626422,612661.0833,626844,625627,628823,631394,637085,639258,640707,641413,641728,642814,642228,642881,636733.5,644848,647051,648220,649749,649029,649508,650670,654050,658023,661622,666767,652685.1818
14,3,Florida,State,FL,158804,158049,157542,157066,156528,155726,154638,153355,152000,150520,148922,147426,154214.6667,145897,144478,142983,141646,140374,139375,138463,137842,137369,137127,136982,136871,139950.5833,136870,136919,137225,137700,138279,138957,139743,140639,141587,142619,143697,144944,139931.5833,146405,148054,149750,151481,153367,155250,157277,159358,161479,163364,165196,166869,156487.5,168424,169740,171010,172086,173092,173947,174816,175451,176177,177162,178239,179326,174122.5,180334,181471,182602,183733,184906,186158,187338,188681,190079,191473,192730,194099,186967,195575,197133,198469,199807,201047,202452,203916,205305,206540,207680,208997,210269,203099.1667,211594,212785,214050,215437,216831,218202,219444,220816,222164,223519,224720,225932,218791.1667,226839,227918,229207,230663,232181,233507,234800,235890,236936,237887,238888,239935,233720.9167,240893,241503,241867,242231,242738,243534,244508,245142,245572,245992,246602,247202,243982,248045,249217,250529,251823,253084,254332,255608,257370,259476,261800,264149,255039.3636
16,8,Georgia,State,GA,142518,141888,141287,141043,140860,140486,139538,138279,136740,135413,134009,132867,138744,131635,130623,129313,127867,126206,124741,123632,122984,122708,122455,122152,121493,125484.0833,121002,120499,120572,120759,121162,121587,122099,122427,122591,122806,123404,124240,121929,125295,126392,127464,128471,129569,130766,131981,133336,134767,136223,137450,138730,131703.6667,139817,140894,141761,142633,143389,144088,144847,145557,146317,147014,147736,148391,144370.3333,149032,149641,150235,150920,151758,152662,153436,154190,154914,155604,156285,156947,152968.6667,157788,158611,159581,160530,161408,162116,162742,163381,163914,164635,165429,166400,162211.25,167203,168082,168950,169861,170775,171832,173021,174188,175558,176843,178230,179560,172841.9167,180983,182345,183521,184728,186024,187405,188743,190000,191178,192333,193444,194455,187929.9167,195357,196146,197140,198144,199220,200060,200890,201748,202570,203268,203664,204115,200193.5,204736,205685,206630,207629,208633,209862,211208,212703,214359,216285,218609,210576.2727
18,39,Hawaii,State,HI,460236,463700,464668,467228,467598,471037,473059,475297,476707,477711,479851,479330,471368.5,478722,476622,475548,472727,471064,469665,468864,467005,464733,463712,461346,460809,469234.75,460479,461307,462885,464149,466652,466698,467912,467541,469610,471188,474449,476474,467445.3333,478533,480141,482098,485225,486021,486993,487911,493456,499131,504815,509100,514157,492298.4167,517492,520705,522342,524545,527116,531516,535097,537674,538408,538683,539707,540891,531181.3333,543154,544643,547094,549124,552002,553545,555436,555512,556090,557561,559481,560837,552873.25,562507,564961,567356,569376,571023,573685,576537,580933,585350,588942,591318,594026,577167.8333,596501,598594,600714,603549,608012,611646,614605,615347,617321,619963,623786,626874,611409.3333,629457,632052,634374,636237,636829,637638,639186,641919,643400,643984,643871,644128,638589.5833,644715,645554,646593,646166,645553,645330,646787,648170,648610,648655,647732,647231,646758,646862,647038,647278,648869,651140,653409,654476,655730,658385,662045,667005,653839.7273
