Current residence in,Population 1 year and over,Same house 1 year ago,Same state of residence 1 year ago,Total_Incoming,Total_Outgoing,Net Migration,Avg. Home Price,Percent of Job Growth,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico,U.S. Island Area,Foreign Country4,Foreign Country
Alabama,4819343,4158224,535649,111803,101466,10337,129174,1,0,424,1513,517,2328,1974,336,22,378,14171,22363,93,118,2399,2295,627,646,2157,2308,56,801,450,1821,420,7798,544,247,167,1989,245,1103,1007,2203,4245,878,1702,877,444,1595,848,1896,96,8018,8825,998,0,4277,1289,1070,1121,104,13667,476,0,13191,0
Alaska,730874,595804,98168,30199,42972,-12773,291459,-1,942,0,1387,203,3556,1487,0,0,0,906,422,424,225,723,186,1083,17,397,327,225,325,111,524,1077,172,143,156,282,633,0,485,64,757,345,103,448,373,1232,274,216,270,6,544,2165,465,0,360,3653,0,2500,6,6703,0,965,5738,0
Arizona,6935358,5717189,911120,261727,163214,98513,228363,3,1337,2255,0,1763,59233,12810,730,810,362,8522,5278,2651,3991,13095,3381,3423,2506,1708,2174,194,1108,2382,5651,7093,1261,5195,2436,1870,7647,578,4329,6455,5674,4429,2725,5095,4856,10701,6332,141,1214,1458,2194,12793,8594,96,3593,14392,318,3897,997,45322,438,91,44793,0
Arkansas,2968395,2509717,370309,79411,69850,9561,120987,1,574,241,1060,0,5334,2547,0,0,0,1525,1805,0,582,2252,1810,176,2021,1222,2867,0,1425,97,961,808,4171,6759,118,475,439,78,359,414,283,1749,88,39,7854,749,2639,0,487,0,5383,15767,657,0,1087,1539,0,958,12,8958,573,0,8385,0
California,39085984,34009331,4234770,523131,661026,-137895,508307,2,3715,2606,26907,3471,0,25038,5935,491,6818,24611,10233,12776,5626,27117,5190,4163,5202,3431,5169,2578,11303,16774,11538,7487,3299,6841,2809,2419,23768,1216,12906,5312,34278,13523,2223,11410,4890,20548,16141,1763,7134,1403,5413,40999,9925,895,21162,33143,789,9348,1395,318752,1864,842,316046,0
Colorado,5542282,4546729,734182,226933,194296,32637,355305,2,3120,2030,6765,1356,27014,0,1800,764,863,12385,4712,3512,2984,10652,2754,3035,6653,2195,2195,448,3420,2785,2661,4369,1085,3774,675,4541,3800,1416,5166,4715,8560,6273,1286,5144,5180,4359,4840,963,2221,1453,2453,25212,3417,471,6099,6675,42,3506,5135,34438,828,568,33042,0
Connecticut,3556297,3136666,311726,83325,98971,-15646,249662,0,206,540,644,160,2807,370,0,463,414,6589,1531,473,0,697,534,0,0,227,716,627,992,12004,376,160,0,1601,0,154,142,472,3930,825,28542,1910,187,1171,400,579,3263,2061,1019,0,166,3698,149,393,1314,374,0,188,257,24580,3780,0,20800,0
Delaware,952449,830905,78998,38532,35653,2879,242520,1,506,0,76,0,580,144,174,0,316,1335,179,110,0,857,41,0,0,21,73,0,9748,396,441,45,0,153,0,0,0,0,4006,44,3564,327,0,80,295,104,11035,0,144,0,318,1152,32,59,1510,0,371,296,0,4014,260,66,3688,0
District of Columbia ,684810,554225,64013,56231,65018,-8787,590444,0,494,0,549,105,3763,1109,1149,375,0,1182,1507,29,161,2726,710,17,0,285,461,122,10835,2669,808,436,157,466,0,0,128,88,2590,206,5238,1867,5,1026,0,37,1824,296,235,0,1057,2858,384,447,7509,206,0,115,0,10341,356,78,9907,0
Florida,20772371,17554348,2402381,566476,447586,118890,218791,2,9389,1400,5577,3028,30919,12061,11249,3831,605,0,38800,2092,1359,28631,11833,3466,3376,9762,6403,2960,18907,18212,19169,7614,4236,8820,755,987,4681,5887,27892,2811,63722,23270,702,22946,6123,3231,28507,3259,10521,763,12023,31625,6063,2816,28232,6176,2187,7202,396,249166,28538,2847,217781,0
